user_id,user_name,user_screenname,user_created_at
245522780,Liam Upson,@LiamJUpson,Mon Jan 31 22:00:00 GMT 2011
702552998392627200,?3 Taqiyya Wieners?,@ValB3470,Wed Feb 24 17:57:42 GMT 2016
930564325756063745,renemco,@renemco1,Tue Nov 14 22:33:19 GMT 2017
1252125098,Fiona Adams,@Fifi_adams,Fri Mar 08 16:10:13 GMT 2013
2396644548,caroline turner,@cazturner32,Tue Mar 18 19:09:38 GMT 2014
47676162,AuthorPoet Aberjhani,@Aberjhani,Tue Jun 16 18:01:56 BST 2009
329192784,susieq,@oktxcal,Mon Jul 04 18:42:52 BST 2011
992062153866862596,MBUSO?,@Deon44000930,Thu May 03 16:23:43 BST 2018
1362177019,Nahid Alaei,@NahidAlaei,Thu Apr 18 16:09:36 BST 2013
110298916,trailmix,@alpignotti9,Mon Feb 01 02:20:08 GMT 2010
3432613756,@PostNormalEra ?,@PostNormalEra,Thu Aug 20 09:40:51 BST 2015
4937061,(((Liz Ditz))),@lizditz,Tue Apr 17 02:16:54 BST 2007
1026834359393939458,Eetu,@Eetu38753703,Tue Aug 07 15:16:03 BST 2018
30588028,JoJo Angelus ?? ?,@JJ_Angelus,Sun Apr 12 04:03:59 BST 2009
1009105905021939712,??? 02-08 11:30-12:30,@Rei_az,Tue Jun 19 17:09:30 BST 2018
866955556455579648,Climate Change Talk,@ClimateChangeTT,Tue May 23 10:54:46 BST 2017
886899681363734528,BREEZE Project,@BREEZE_CleanSky,Mon Jul 17 11:45:36 BST 2017
17303385,atypicalblonde,@atypicalblonde,Tue Nov 11 04:59:20 GMT 2008
158495061,EESI,@eesionline,Tue Jun 22 22:27:58 BST 2010
737953770043232256,Go Jauntly,@gojauntly,Wed Jun 01 11:27:44 BST 2016
3088777220,Caroline L Brandberg,@l_brandberg,Mon Mar 16 09:40:57 GMT 2015
824004742087081985,Loretta Bower,@LorettaBower3,Tue Jan 24 21:23:34 GMT 2017
96350647,Peter Garbutt,@PeterGarbutt,Sat Dec 12 14:20:28 GMT 2009
188084690,Chant Duvenage,@Chanteduv,Tue Sep 07 23:05:50 BST 2010
545404198,Bex Allen,@travellingbex,Wed Apr 04 21:04:48 BST 2012
331603112,H Stiles,@HStiles1,Fri Jul 08 13:41:52 BST 2011
1007850253125652480,WomanWarrior,@WWomanwarrior,Sat Jun 16 06:00:00 BST 2018
285802933,sue king #resist,@suzie462,Thu Apr 21 21:24:26 BST 2011
48205970,Genevieve,@genevieveisgg,Thu Jun 18 03:03:59 BST 2009
2183619924,MD SHAHINUR RAHMAN,@shahinurit,Sat Nov 09 05:05:41 GMT 2013
3063629509,Bruce Mirken,@BruceMirken,Thu Mar 05 22:16:33 GMT 2015
79093031,Gerard Best,@GerardBest,Fri Oct 02 05:22:38 BST 2009
1606799396,Sarah Crutcher,@crutcher_sarah,Fri Jul 19 22:24:57 BST 2013
508065943,andy killingback,@andykillingback,Tue Feb 28 23:18:19 GMT 2012
794598714547388417,Hilary Costa,@hcaitlincosta,Fri Nov 04 17:54:31 GMT 2016
616260000,grey-sister,@grey_sister,Sat Jun 23 15:58:35 BST 2012
971323613801517056,Tom Hartshorne,@TommiBoi97,Wed Mar 07 09:56:10 GMT 2018
3039558641,Prosecco Party DOC,@proseccoparty,Sun Feb 15 19:45:01 GMT 2015
256921454,Exercise Works!,@exerciseworks,Thu Feb 24 10:22:04 GMT 2011
827205176385630208,Autumn,@autumn_leopard,Thu Feb 02 17:20:57 GMT 2017
569858741,MAGNUS ANIMUS,@Damokhin,Thu May 03 11:21:47 BST 2012
